Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.0106982,0.228296,0.114286,0.0336517,0.236025,0.694613,0.287638,0.211141,0.798408,0.010614,0.190223,0.0110088,0.444848,0.0607721,0.0285714,0.241908,0
0.0100863,0.212219,0.142857,0.0531932,0.236025,0.613393,0.299133,0.0775865,0.764588,0.25739,0.232282,0.128384,0.397048,0.00332423,0.0206017,0.241908,0
0.118541,0.221865,0.154286,0.0118996,0.335403,0.472541,0.237933,0.144296,0.216512,0.504758,0.21122,0.361851,0.305622,0.00275714,0,0.449744,0
0.125498,0.231511,0.182857,0.0356922,0.354037,0.47117,0.236242,0.147497,0.2114,0.499225,0.21122,0.361116,0.304586,0.00275714,0,0.449744,0
0.13871,0.21865,0.102857,0.0428927,0.248447,0.755868,0.294531,0.189928,0.617036,0.164517,0.133301,0.189304,0.480302,0.00332423,0,0.55707,0
0.0398697,0.234727,0.142857,0.0677888,0.347825,0.431239,0.191172,0.189423,0.108014,0.281834,0.215341,0.318261,0.266937,0.0236604,0.01052,0.90971,0
0.0363668,0.21865,0.12,0.0237975,0.304348,0.519919,0.293718,0.0559226,0.414135,0.581117,0.211785,0.379691,0.339142,0.00284879,0,0.90971,0
0.156582,0.21865,0.182857,0.0420602,0.354037,0.461942,0.230814,0.156107,0.20091,0.468288,0.214311,0.348049,0.298202,0.00275714,0,0.449744,0
0.230004,0.212219,0.2,0.0356922,0.360248,0.441067,0.127947,0.104192,0,0.103792,0.0889919,0.364162,0.252067,0.0241351,0,0.449744,1
0.00252158,0.212219,0.142857,0.0118996,0.236025,0.611897,0.301964,0.0818407,0.778749,0.249429,0.237202,0.136172,0.396822,0.00332423,0,0.241908,0
0.228951,0.212219,0.211429,0.0237975,0.372671,0.446734,0.216915,0.179153,0.186282,0.412873,0.216372,0.332921,0.286983,0.00227093,0.00920502,0.449744,0
